PROVINCIA;CANTÓN;MES;DIA;HORA;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
9;0906;1;7;4;1;1;0;1;7;4
13;1306;1;7;6;2;0;0;0;7;4
9;0918;1;7;11;2;0;2;2;5;4
7;0711;1;7;13;2;0;1;1;3;7
9;0911;1;7;13;2;0;0;0;8;10
9;0902;1;7;14;2;0;3;3;5;4
12;1207;1;7;14;2;0;1;1;3;4
9;0913;1;7;19;2;0;1;1;1;4
9;0906;1;7;20;2;0;3;3;3;7
9;0909;1;7;22;2;0;1;1;2;5
7;0709;1;1;0;2;0;0;0;7;4
9;0924;1;1;5;2;0;0;0;7;4
9;0912;1;1;6;2;0;1;1;2;5
24;2402;1;1;10;1;0;1;1;2;5
9;0925;1;1;11;2;0;1;1;1;4
9;0908;1;1;12;1;0;1;1;3;7
12;1208;1;1;20;1;0;1;1;2;5
9;0924;1;2;2;2;0;2;2;1;4
12;1208;1;2;13;1;0;1;1;3;7
12;1203;1;2;14;2;0;1;1;3;7
9;0912;1;2;14;2;0;1;1;5;4
9;0906;1;2;17;2;1;0;1;3;4
12;1208;1;2;17;1;0;1;1;7;4
24;2403;1;2;18;1;0;0;0;3;7
9;0909;1;2;23;1;0;1;1;1;4
9;0920;1;3;4;2;0;0;0;4;4
24;2401;1;3;8;2;0;2;2;8;10
12;1210;1;3;9;2;1;1;2;3;4
9;0911;1;3;12;2;0;1;1;2;5
9;0920;1;3;13;1;0;1;1;3;7
23;2302;1;3;16;2;1;1;2;3;7
24;2401;1;3;18;1;0;1;1;3;7
9;0916;1;3;19;2;0;1;1;7;4
13;1301;1;3;19;2;0;1;1;4;4
9;0911;1;3;19;2;1;1;2;7;4
24;2401;1;3;19;1;0;0;0;7;4
24;2401;1;3;22;2;0;0;0;7;4
9;0920;1;4;7;2;0;1;1;3;7
9;0906;1;4;12;2;0;1;1;4;4
13;1301;1;4;16;2;1;1;2;3;7
7;0710;1;4;16;2;0;0;0;3;7
13;1312;1;4;19;2;0;0;0;3;7
12;1207;1;4;19;2;0;2;2;3;7
9;0908;1;4;20;2;1;1;2;3;7
13;1301;1;4;21;2;0;1;1;1;4
7;0712;1;4;23;2;0;1;1;7;4
12;1201;1;5;7;2;0;0;0;3;4
9;0925;1;5;11;2;0;1;1;1;4
24;2401;1;5;11;2;0;0;0;3;7
11;1113;1;5;11;2;0;1;1;7;4
12;1201;1;5;14;2;0;2;2;3;4
9;0922;1;5;14;2;0;1;1;3;7
12;1210;1;5;15;2;1;0;1;3;4
9;0922;1;5;16;2;0;1;1;3;7
1;0108;1;5;17;2;0;2;2;3;4
9;0922;1;5;19;2;0;1;1;2;5
24;2401;1;5;19;2;0;1;1;3;7
24;2401;1;5;19;2;0;0;0;3;4
9;0901;1;5;20;2;0;0;0;4;4
9;0916;1;5;22;2;0;1;1;3;7
12;1208;1;5;22;1;0;2;2;2;5
23;2301;1;6;6;2;1;1;2;5;4
9;0911;1;6;15;2;0;2;2;3;7
12;1204;1;6;16;2;0;0;0;7;4
13;1307;1;6;16;2;1;2;3;3;7
7;0702;1;6;18;2;0;0;0;7;4
13;1309;1;6;19;2;0;0;0;7;4
7;0701;1;6;19;2;1;0;1;3;4
11;1111;1;6;20;2;0;1;1;3;4
9;0906;1;6;20;2;0;1;1;1;4
9;0913;1;6;20;2;1;0;1;7;4
9;0916;1;6;21;2;0;1;1;5;4
9;0924;1;6;21;2;0;1;1;3;7
12;1203;1;6;23;2;0;2;2;2;5
12;1207;1;7;0;2;0;1;1;2;5
9;0911;1;7;4;2;0;0;0;8;10
12;9008;1;7;4;2;1;3;4;3;7
12;1203;1;7;6;2;0;1;1;7;4
24;2402;1;7;8;2;0;0;0;3;4
23;2301;1;7;8;2;0;0;0;3;4
1;0108;1;7;8;2;0;0;0;3;4
9;0906;1;7;8;2;0;0;0;4;4
9;0910;1;7;10;2;1;0;1;5;4
24;2401;1;7;10;2;0;2;2;3;7
2;0206;1;7;12;1;0;1;1;2;5
9;0921;1;7;14;2;0;1;1;3;4
11;1111;1;7;15;2;0;0;0;3;4
9;0914;1;7;16;2;0;1;1;7;4
9;0920;1;7;17;2;0;2;2;2;5
7;0709;1;7;17;2;0;1;1;3;7
9;0910;1;7;17;2;0;1;1;3;7
9;0906;1;7;18;1;0;1;1;2;5
12;1207;1;7;19;2;0;1;1;1;4
9;0920;1;7;19;2;0;1;1;2;5
24;2403;1;7;19;2;0;1;1;1;4
9;0911;1;7;20;1;0;1;1;2;5
9;0924;1;1;2;2;0;1;1;1;4
9;0916;1;1;7;2;0;1;1;5;4
24;2402;1;1;8;1;0;1;1;3;7
